product_id,handle,title,metafields_to_set
9269957689594,bijoux-warming-massage-oil,Bijoux Warming massage oil,custom.brand=LELO
9269975646458,high-efficiency-90w-tri-fold-3-x-30w-foldable-solar-panel-kit-suitcase,High Efficiency 90W Tri-Fold (3 x 30w) Foldable So,custom.brand=Acopower
9269980627194,lelo-ako-originals-purple,Lelo AKO Originals,custom.brand=Lelo
9269981184250,billy-2,Lelo Billy 2 Intimate Massager,custom.brand=Lelo
9269981544698,lelo-f1l-personal-moisturizer,Lelo F1L Personal Moisturizer,custom.brand=Lelo
9269981577466,lelo-feminine-moisturizer,Lelo Feminine Moisturizer,custom.brand=Lelo
9269981610234,enigma-cruise-massager,Lelo Enigma Cruise Intimate Massager,custom.brand=Lelo
9269982068986,hex-original-condoms,Lelo HEX Original Condoms,custom.brand=Lelo
9269982200058,hex-respect-xl-condoms,Lelo HEX Respect XL Condoms,custom.brand=Lelo
9269982331130,ina-3,Lelo INA 3 Intimate Massager,custom.brand=Lelo
9269982396666,hula-beads,Lelo Hula Beads,custom.brand=Lelo
9269982757114,lelo-kaya-originals-purple,Lelo Kaya Originals,custom.brand=Lelo
9269983248634,liv-2,Lelo LIV 2 Intimate Massager,custom.brand=Lelo
9269983281402,lelo-lifeguard-originals-purple,Lelo Lifeguard Originals,custom.brand=Lelo
9269983346938,loki-wave,Lelo Loki Wave Intimate Massager,custom.brand=Lelo
9269983707386,lelo-mahana-originals-purple,Lelo Mahana Originals,custom.brand=Lelo
9269983740154,lyla-2,Lelo Lyla 2 Intimate Massager,custom.brand=Lelo
9269983805690,lelo-moka-originals-purple,Lelo Moka Originals,custom.brand=Lelo
9269984166138,lelo-nea-originals-purple,Lelo NEA Originals,custom.brand=Lelo
9269984723194,lelo-personal-moisturizer-150ml,Lelo Personal Moisturizer - 150mL,custom.brand=Lelo
9269984821498,sila-cruise-massager,Lelo Sila Cruise Intimate Massager,custom.brand=Lelo
9269985870074,sona-2,Lelo Sona 2 Intimate Massager,custom.brand=Lelo
9269986001146,lelo-sona-originals-purple,Lelo Sona Originals,custom.brand=Lelo
9269986361594,tiani-duo-massager,Lelo Tiani Duo Intimate Massager,custom.brand=Lelo
9269986459898,lelo-surfer-originals-purple,Lelo Surfer Originals,custom.brand=Lelo
9269986492666,tor-2,Lelo TOR 2 Intimate Massager,custom.brand=Lelo
9269988655354,lioncooler-x40a-portable-solar-fridge-freezer-42-quarts-new-model,LiONCooler X40A Portable Solar Fridge Freezer - 42,custom.brand=Acopower
9269988720890,lioncooler173wh-battery-for-x30a-x40a-x50a,LiON Cooler 173Wh Battery for X30A/X40A/X50A,custom.brand=Acopower
9269988950266,lioncooler-x50a-portable-solar-fridge-freezer-52-quarts-new-model,LiONCooler X50A Portable Solar Fridge Freezer - 52,custom.brand=Acopower
9269989015802,ltk-120w-foldable-solar-panel-kit-with-proteusx-20a-charge-controller,LTK 120W Foldable Solar Panel Kit With ProteusX 20,custom.brand=Acopower
9269991702778,daylight24-natural-daylight-led-adjustable-beam-floor-lamp-blackened-bronze-finish-by-daylight24,Natural Daylight LED Adjustable Beam Floor Lamp,custom.brand=Daylight24
9269991735546,daylight24-natural-daylight-led-adjustable-beam-floor-lamp-brushed-nickel-finish-with-black-shade-by-daylight24,Natural Daylight LED Adjustable Beam Floor Lamp,custom.brand=Daylight24
9269991768314,daylight24-natural-daylight-cordless-led-reading-floor-lamp-antique-brass-finish-by-daylight24,Natural Daylight Cordless LED Reading Floor Lamp,custom.brand=Daylight24
9269991833850,daylight24-natural-daylight-led-adjustable-beam-floor-lamp-brushed-nickel-finish-by-daylight24,Natural Daylight LED Adjustable Beam Floor Lamp,custom.brand=Daylight24
9269992292602,daylight24-natural-daylight-led-adjustable-beam-floor-lamp-gold-finish-by-daylight24,Natural Daylight LED Adjustable Beam Floor Lamp - ,custom.brand=Daylight24
9269998420218,plk-100w-portable-solar-panel-kit-lightweight-briefcase-with-20a-charge-controller,PLK 100W Portable Solar Panel Kit Lightweight Brie,custom.brand=Acopower
9269999042810,plk-120w-portable-solar-panel-kit-lightweight-briefcase-with-20a-charge-controller,PLK 120W Portable Solar Panel Kit Lightweight Brie,custom.brand=Acopower
9269999993082,pro-ice-crushing-portable-blender-17oz,Pro+ Ice Crushing Portable Blender (17oz),custom.brand=BlenderBottle
9270000648442,ptk100w-portable-solar-panel-kit-foldable-2x-50w-mono-suitcase-proteusx-20a-charge-controller,"PTK100W Portable Solar Panel kit, Foldable 2X 50w ",custom.brand=Acopower
9270000681210,ps500-462wh-500w-portable-solar-generator-new-arrival-2020,PS500 462Wh/500W Portable Solar Generator,custom.brand=Acopower
