id,handle,title,old_productType,new_productType
"9269952250106","anello-app-controlled-vibrating-double-cock-ring-with-clitoral-stimulator","Anello-App-Controlled Vibrating Double Intimate Ring","Sports & Outdoors","Sexual Wellness"
"9269980692730","lelo-beads-plus","Lelo Beads Plus","Health & Wellness","Sexual Wellness"
"9269981085946","lelo-couple-play-bundle","Lelo Couple Play Bundle","Toys & Games","Sexual Wellness"
"9269981675770","elise-2","Lelo Elise 2 Intimate Massager","Health & Wellness","Sexual Wellness"
"9269982101754","lelo-freshn-steamy-bundle","Lelo Fresh'n Steamy Bundle","Home & Kitchen","Sexual Wellness"
"9269983215866","loki","Lelo Loki Intimate Massager","Health & Wellness","Sexual Wellness"
"9269983772922","lelo-luna-beads-luxe","Lelo Luna Beads Luxe","Health & Wellness","Sexual Wellness"
"9269983838458","mia-2","Lelo MIA 2 Intimate Massager","Health & Wellness","Sexual Wellness"
"9269985411322","smart-wand-2-large","Lelo Smart Wand 2 Large Intimate Massager","Health & Wellness","Sexual Wellness"
"9269985771770","lelo-sona-3","Lelo Sona 3","Health & Wellness","Sexual Wellness"
"9269985804538","lelo-sona-3-cruise","Lelo Sona 3 Cruise","Health & Wellness","Sexual Wellness"
"9269985968378","lelo-spotlight-bundle","Lelo Spotlight Bundle","Home & Kitchen","Sexual Wellness"
"9269986197754","soraya-wave","Lelo Soraya Wave Intimate Massager","Health & Wellness","Sexual Wellness"
"9269987148026","liberator-aria-flip-chaise-18-inch-wide-convertible-chair-and-bed-bench-by-luvu-brands","Liberator Aria Flip Chaise 18 Inch Wide - Convertible Chair and Bed Bench","Beauty & Grooming","Sexual Wellness"
"9269987213562","liberator-esse-sensual-lounge-chair-by-luvu-brands","Liberator Esse Sensual Lounge Chair","Beauty & Grooming","Sexual Wellness"
"9269987737850","liberator-flip-ramp-positioning-pillow","Liberator Flip Ramp Positioning Pillow","Health & Wellness","Sexual Wellness"
"9269987934458","liberator-wedge-ramp-sex-positioning-pillow-combo-by-luvu-brands","Liberator Wedge & Ramp Intimate Positioning Pillow Combo","Health & Wellness","Sexual Wellness"
"9269988032762","liberator-wedge-ramp-sex-positioning-pillow-combo-short-size-by-luvu-brands","Liberator Wedge & Ramp Intimate Positioning Pillow Combo, Short Size","Health & Wellness","Sexual Wellness"
